"Word","Iconicity","ListIdentifier","KupermanAOA","SUBTLEX_Rawfreq","SUBTLEX_dom_POS","SUBTLEX_Percentage_dom_POS","OrthoLength","ParentalInputRawFreq","ChildesAge12Freq","ChildesAge15Freq","ChildesAge18Freq","ChildesAge21Freq","ChildesAge24Freq","ChildesAge27Freq","ChildesAge30Freq","ChildesAge33Freq","ChildesAge36Freq","ChildesAge39Freq","ChildesAge42Freq","ChildesAge45Freq","ChildesAge48Freq","ChildesAge51Freq","ChildesAge54Freq","ChildesAge57Freq","ChildesAge60Freq","ChildesAge63Freq","ChildesAge66Freq","ChildesAge69Freq","Conc","NMorph"
"vomit",1.09090909090909,"list2",5.68,272,"Verb","0.51",5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,4.75,1
"vote",-0.571428571428571,"list2",7.79,1751,"Verb","0.52",4,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,2,2,0,0,0,3.85,1
"vow",0.846153846153846,"list2",9.32,276,"Noun","0.74",3,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,NA
"wage",-0.153846153846154,"list2",11.06,159,"Noun","0.79",4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,NA
"wail",0.5,"list2",9.41,44,"Verb","0.77",4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,NA
"wailing",1.61538461538462,"list2",NA,156,"Verb","0.95",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,2
"want",-0.214285714285714,"list2",4.16,140718,"Verb","1.00",4,12221,5,63,235,889,2143,4157,4154,3554,2268,1414,1035,1013,761,564,2322,602,381,286,268,187,1.93,1
"war",-0.230769230769231,"list2",7.67,8912,"Noun","1.00",3,40,0,1,0,0,0,1,0,2,5,7,0,3,6,3,1,11,2,4,0,0,3.63,1
"warble",1.25,"list2",10.91,10,"Verb","0.67",6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"warbling",1.46153846153846,"list2",NA,5,"Noun","0.60",8,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"warm",1.23076923076923,"list2",4.65,2659,"Adjective","0.80",4,310,0,0,7,15,25,51,62,47,23,26,14,23,10,14,35,9,3,3,3,4,3.56,1
"warrant",0.5,"list2",11.37,1060,"Noun","0.91",7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,NA
"waste",0.0714285714285714,"list2",6.5,2716,"Verb","0.58",5,40,0,0,0,1,1,2,1,1,6,0,1,0,1,0,4,0,1,4,2,0,3.24,1
"watch",1.15384615384615,"list2",4.33,16831,"Verb","0.85",5,1658,0,6,41,46,132,234,279,230,269,181,132,173,162,99,368,124,51,22,51,39,4.61,1
"water",0.75,"list2",2.37,11478,"Noun","0.99",5,1482,39,137,80,223,352,423,449,280,286,205,152,135,144,110,316,91,45,28,45,42,5,1
"waxy",0.5,"list2",8.05,20,"Adjective","1.00",4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,NA
"weak",1.30769230769231,"list2",5.58,1607,"Adjective","1.00",4,15,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2.79,1
"weapon",0.0769230769230769,"list2",6.95,2379,"Noun","1.00",6,5,0,0,0,0,0,0,0,0,0,0,0,4,6,1,0,0,0,0,3,0,4.76,1
"weather",-0.75,"list2",5.94,1746,"Noun","0.97",7,99,0,0,1,0,2,0,4,1,0,4,0,3,1,0,1,0,0,0,1,0,3.83,1
"week",-0.461538461538462,"list2",5.11,12164,"Noun","1.00",4,747,0,0,0,7,12,27,33,20,5,8,4,16,9,6,21,4,4,2,9,1,3.48,1
"weight",0.416666666666667,"list2",6.53,1850,"Noun","0.99",6,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,3.94,1
